username,url,title,type,relevance,last_activity,evidence_url,notes
jobaem,https://t.me/jobaem,Jobaem | Заказы дизайнерам,channel,reels,2026-04-08,https://t.me/jobaem/1690,Fresh public post found for reels
jobforpr,https://t.me/jobforpr,Job for PR и SMM,channel,montage,2026-04-02,https://t.me/jobforpr/3860,Fresh public post found for tiktok
jobfortarget,https://t.me/jobfortarget,Вакансии для Таргетологов,channel,youtube,2026-05-07,https://t.me/jobfortarget/6657,Fresh public post found for youtube
jobs_for_us,https://t.me/jobs_for_us,🎖🏵Jobs4us|وظائف لنا🏵🎖,channel,reels,2026-04-20,https://t.me/jobs_for_us/76462,Fresh public post found for reels
jobsbelarus,https://t.me/jobsbelarus,Работа Минск / Подработка Минск / Вакансии Минск,channel,youtube,2026-05-14,https://t.me/s/jobsbelarus?q=youtube,Fresh public post found for youtube
jobsforsmm,https://t.me/jobsforsmm,smm вакансії|сошиал медіа маркетинг,channel,reels,2026-04-01,https://t.me/jobsforsmm/2788,Fresh public post found for reels
jobstargetm,https://t.me/jobstargetm,Jobs Target,channel,shorts,2026-04-15,https://t.me/s/jobstargetm?q=shorts,Fresh public post found for shorts
jobsua22,https://t.me/jobsua22,📣 Робота | Вакансії 🇺🇦,channel,reels,2026-04-01,https://t.me/jobsua22/8991,Fresh public post found for reels
junior_designers,https://t.me/junior_designers,Джун Дизайнер - вакансии,channel,shorts,2026-03-28,https://t.me/junior_designers/1188,Fresh public post found for shorts
juno_jobs,https://t.me/juno_jobs,junojobs → стажировки в IT,channel,motion,2026-06-01,https://t.me/juno_jobs/2244,Fresh public post found for motion designer
kzfreelance,https://t.me/kzfreelance,HELLO HR ВАКАНСИЯ КАНАЛЫ,channel,reels,2026-04-27,https://t.me/kzfreelance/10272,Fresh public post found for reels
marketing_rabota,https://t.me/marketing_rabota,marketing jobs - вакансии для маркетологов,channel,reels,2026-04-20,https://t.me/marketing_rabota/1385,Fresh public post found for reels
media_vakansii,https://t.me/media_vakansii,Работа в Диджитал и Медиа,channel,reels,2026-03-26,https://t.me/media_vakansii/914,Fresh public post found for reels
mediajobs_ru,https://t.me/mediajobs_ru,mediajobs | вакансии,channel,reels,2026-04-17,https://t.me/mediajobs_ru/6053,Fresh public post found for reels
moscowjobforyou,https://t.me/moscowjobforyou,"Москва: работа, вакансии, удаленка",channel,reels,2026-04-20,https://t.me/s/moscowjobforyou?q=reels,Fresh public post found for reels
nimb_job,https://t.me/nimb_job,РАБОТА МОНТАЖЁР | ОПЕРАТОР | СЦЕНАРИСТ | ФРИЛАНС,channel,reels,2026-04-11,https://t.me/nimb_job/1149,Fresh public post found for reels
normremote,https://t.me/normremote,Норм удалёнка,channel,reels,2026-04-15,https://t.me/normremote/1654,Fresh public post found for reels
polyaluzjob,https://t.me/polyaluzjob,ФРИЛАНСИКИ,channel,reels,2026-04-21,https://t.me/polyaluzjob/20018,Fresh public post found for reels
producer_news,https://t.me/producer_news,Будни продюсера,channel,shorts,2026-04-22,https://t.me/producer_news/1092,Fresh public post found for shorts
proffreelancee,https://t.me/proffreelancee,НАСТОЯЩИЙ ФРИЛАНС | Удаленная Работа,channel,reels,2026-06-13,https://t.me/proffreelancee/7611,Fresh public post found for reels
rabota_360,https://t.me/rabota_360,БИРЖА ТРУДА | вакансии резюме - удаленная работа,channel,reels,2026-03-26,https://t.me/rabota_360/10541,Fresh public post found for reels
rabota_5g,https://t.me/rabota_5g,Казахстан на удалёнке,channel,shorts,2026-03-27,https://t.me/rabota_5g/3673,Fresh public post found for shorts
rabota_emik,https://t.me/rabota_emik,"Вакансии, таргет, закуп рекламы, работа | vacancy, influence marketing job, developers",channel,reels,2026-05-20,https://t.me/rabota_emik/4288,Fresh public post found for reels
rabota_freelancee,https://t.me/rabota_freelancee,"Удаленка. Вакансии и резюме Маркетинг, SMM, Digital - все для онлайна",channel,reels,2026-05-12,https://t.me/rabota_freelancee/3754,Fresh public post found for reels
razoomjobs,https://t.me/razoomjobs,"RazoomJobs | Вакансии – EdTech, International",channel,reels,2026-06-15,https://t.me/razoomjobs/11027,Fresh public post found for reels
remotegeekjob,https://t.me/remotegeekjob,RemoteGeekjob,channel,reels,2026-07-10,https://t.me/remotegeekjob/40846,Fresh public post found for reels
remotejobshg,https://t.me/remotejobshg,Remote Crypto Jobs,channel,reels,2026-04-25,https://t.me/remotejobshg/895,Fresh public post found for reels
remotejun,https://t.me/remotejun,Remote Junior (INFLOW),channel,montage,2026-03-25,https://t.me/remotejun/4944,Fresh public post found for tiktok
rueventjob,https://t.me/rueventjob,Удаленка - вся творческая работа,channel,reels,2026-06-04,https://t.me/rueventjob/17663,Fresh public post found for reels
saudijobs24,https://t.me/saudijobs24,وظائف السعودية 24 🇸🇦,channel,montage,2026-04-02,https://t.me/saudijobs24/91094,Fresh public post found for video editor
smm_leads,https://t.me/smm_leads,SMM LEADS,channel,reels,2026-05-07,https://t.me/smm_leads/4496,Fresh public post found for reels
smm_top_vacancy,https://t.me/smm_top_vacancy,SMM Фриланс Ai нейро вакансии работа от 80к,channel,reels,2026-07-08,https://t.me/smm_top_vacancy/1073,Fresh public post found for reels
smmqazqroups,https://t.me/smmqazqroups,Вакансии SMM • Digital • Маркетинг Вакансии Казахстан,channel,reels,2026-06-04,https://t.me/smmqazqroups/1986,Fresh public post found for reels
sound_jobs,https://t.me/sound_jobs,"SNEEERS l Работа в звуке l Вакансии для саунд-дизайнеров, звукорежиссёр, озвучка и другие вакансии в сфере.",channel,youtube,2026-04-13,https://t.me/sound_jobs/591,Fresh public post found for youtube
sova_freelance,https://t.me/sova_freelance,СОВА на ФРИЛАНСЕ 🦉,channel,reels,2026-04-14,https://t.me/sova_freelance/15281,Fresh public post found for reels
targetsmmvakansii,https://t.me/targetsmmvakansii,SMM СММ Актуальные Вакансии Работа Таргетолог Фриланс маркетинг Таргет,channel,reels,2026-03-29,https://t.me/targetsmmvakansii/6297,Fresh public post found for reels
teleworksjobs,https://t.me/teleworksjobs,وظائف عن بعد 🇸🇦🏠,channel,montage,2026-04-02,https://t.me/teleworksjobs/13767,Fresh public post found for video editor
tremoters,https://t.me/tremoters,REMOTER @ вакансии на удаленке,channel,reels,2026-05-25,https://t.me/s/tremoters?q=reels,Fresh public post found for reels
uiux_jobs_resumes,https://t.me/uiux_jobs_resumes,UI/UX Jobs — канал вакансий и резюме дизайнеров,channel,reels,2026-05-21,https://t.me/uiux_jobs_resumes/4533,Fresh public post found for reels
uzdesignfind,https://t.me/uzdesignfind,Найди дизайнера [UZ],channel,reels,2026-04-08,https://t.me/uzdesignfind/2869,Fresh public post found for reels
vakansii_design,https://t.me/vakansii_design,🎨 Таверна Дизайна | РАБОТА | вакансии чат,channel,reels,2026-04-02,https://t.me/vakansii_design/2671,Fresh public post found for reels
vakansii_smm,https://t.me/vakansii_smm,🏄🏼 Таверна СММ | РАБОТА | ВАКАНСИИ,channel,reels,2026-07-10,https://t.me/vakansii_smm/3924,Fresh public post found for reels
videophotohh,https://t.me/videophotohh,Монтаж и Съемка Вакансии | Видеомонтаж Видеографы • Мобилографы • Фотографы,channel,reels,2026-04-08,https://t.me/videophotohh/240,Fresh public post found for reels
work4writers,https://t.me/work4writers,Work for writers,channel,reels,2026-06-26,https://t.me/s/work4writers?q=reels,Fresh public post found for reels
work_copywriters,https://t.me/work_copywriters,Работа для копирайтеров и редакторов,channel,reels,2026-04-12,https://t.me/work_copywriters/7358,Fresh public post found for reels
work_editor,https://t.me/work_editor,Работа с текстами — вакансии,channel,youtube,2026-06-18,https://t.me/work_editor/6243,Fresh public post found for youtube
work_finde,https://t.me/work_finde,Work | Диджитал удаленные вакансии,channel,reels,2026-04-02,https://t.me/work_finde/7129,Fresh public post found for reels
work_hub_0,https://t.me/work_hub_0,work_hub | віддалені вакансії,channel,montage,2026-04-22,https://t.me/work_hub_0/1370,Fresh public post found for tiktok
workasap,https://t.me/workasap,Работа в диджитал и медиа,channel,reels,2026-05-01,https://t.me/workasap/5378,Fresh public post found for reels
workforwriters,https://t.me/workforwriters,"Посоветуйте толкового копирайтера? Вакансии для копирайтеров, СММ, редакторов в онлайн-школы",channel,shorts,2026-05-12,https://t.me/workforwriters/52,Fresh public post found for shorts
workindesign,https://t.me/workindesign,Work for Designers,channel,motion,2026-03-28,https://t.me/workindesign/2670,Fresh public post found for motion designer
workk_onstream,https://t.me/workk_onstream,WORK ON | STREAM,channel,reels,2026-04-02,https://t.me/workk_onstream/23460,Fresh public post found for reels
workoo,https://t.me/workoo,Ворку | Подработка удаленно,channel,youtube,2026-06-21,https://t.me/workoo/4176,Fresh public post found for youtube
worksvsem,https://t.me/worksvsem,Удалёнка для всех,channel,reels,2026-05-18,https://t.me/worksvsem/4777,Fresh public post found for reels
workzilla_vacancies,https://t.me/workzilla_vacancies,Вакансии Workzilla — Удаленная работа | Фриланс,channel,reels,2026-04-17,https://t.me/workzilla_vacancies/51072,Fresh public post found for reels
yotolabdesigner,https://t.me/yotolabdesigner,Работа и вакансии для дизайнеров,channel,reels,2026-04-23,https://t.me/s/yotolabdesigner?q=reels,Fresh public post found for reels
young_relocate,https://t.me/young_relocate,Relocate - зарубежные вакансии на релокацию и удаленку,channel,motion,2026-04-23,https://t.me/young_relocate/1773,Fresh public post found for video editor
youritjob,https://t.me/youritjob,IT Работа: Сербия и удаленка LENKEP 🔥,channel,montage,2026-03-26,https://t.me/youritjob/7947,Fresh public post found for tiktok
afriworkamharic,https://t.me/afriworkamharic,አፍሪወርክ (አማርኛ) Afriwork ፍሪላንስ ኢትዮጲያ,channel,reels,2026-04-08,https://t.me/afriworkamharic/49623,Fresh public post found for reels
anilsiriti,https://t.me/anilsiriti,Anil sir ITI YouTube Channel(www.anilsiriti.in),channel,shorts,2026-03-27,https://t.me/anilsiriti/15039,Fresh public post found for shorts
bersamabumn,https://t.me/bersamabumn,Info Rekrutmen Bersama BUMN,channel,montage,2026-05-30,https://t.me/bersamabumn/4978,Fresh public post found for video editor
bta3sho8l,https://t.me/bta3sho8l,بتاع شغل,channel,reels,2026-04-02,https://t.me/bta3sho8l/22562,Fresh public post found for reels
ethio_job_vacancy1,https://t.me/ethio_job_vacancy1,Ethio Job Vacancy ®️,channel,montage,2026-05-08,https://t.me/ethio_job_vacancy1/20399,Fresh public post found for video editor
Ethiojobs2000,https://t.me/Ethiojobs2000,Ethio Jobs Vacancy™,channel,montage,2026-07-10,https://t.me/Ethiojobs2000/62980,Fresh public post found for tiktok
fanajobs,https://t.me/fanajobs,Fanajobs,channel,motion,2026-05-27,https://t.me/fanajobs/9518,Fresh public post found for video editor
freshershunt,https://t.me/freshershunt,Freshershunt - Off Campus Drive Updates,channel,youtube,2026-05-27,https://t.me/freshershunt/28319,Fresh public post found for youtube
hahujobs,https://t.me/hahujobs,HaHuJobs,channel,reels,2026-03-28,https://t.me/hahujobs/158951,Fresh public post found for reels
job4fresherss,https://t.me/job4fresherss,job4freshers.co.in,channel,shorts,2026-05-19,https://t.me/job4fresherss/18387,Fresh public post found for shorts
jops2015,https://t.me/jops2015,وظائف عامة نسألكم صالح الدعاء,channel,reels,2026-04-08,https://t.me/jops2015/100899,Fresh public post found for reels
m_marketd,https://t.me/m_marketd,Удалёнка без опыта - Фриланс,channel,reels,2026-04-03,https://t.me/m_marketd/115010,Fresh public post found for reels
mymahabharti,https://t.me/mymahabharti,MahaBharti.in™,channel,shorts,2026-06-11,https://t.me/mymahabharti/39389,Fresh public post found for shorts
profenture,https://t.me/profenture,Profenture: стажировки и волонтерство,channel,youtube,2026-07-21,https://t.me/profenture/13654,Fresh public post found for youtube
Riyadhjobstoday,https://t.me/Riyadhjobstoday,وظائف الرياض 24 🇸🇦,channel,montage,2026-04-02,https://t.me/Riyadhjobstoday/64107,Fresh public post found for video editor
south_work,https://t.me/south_work,"Рабочий Парк: вакансии, стажировки, волонтёрские программы",channel,youtube,2026-04-18,https://t.me/south_work/12270,Fresh public post found for youtube
theyseeku,https://t.me/theyseeku,Finder.work: работа и вакансии,channel,reels,2026-05-27,https://t.me/theyseeku/35100,Fresh public post found for reels
vacanciesbest,https://t.me/vacanciesbest,Лучшие вакансии,channel,youtube,2026-07-17,https://t.me/vacanciesbest/18959,Fresh public post found for youtube
work4freshers,https://t.me/work4freshers,Work4freshers - Job Updates,channel,montage,2026-04-11,https://t.me/work4freshers/9879,Fresh public post found for video editor
